Company Name,Category,Priority,Contact Email,Phone,Region,Partner Program URL,Revenue Model,Status,Owner,Last Contact Date,Next Action,Notes
Almosafer,OTA,P2,via Seera Group,,GCC,https://almosafer.com/,À négocier,Not started,,,Via Seera Group,OTA grand public KSA / Émirats
Stay.sa,OTA,P3,via NIC,,KSA,https://stay.sa/,À négocier,Not started,,,Via NIC,OTA gouvernementale saoudienne
Tajawal,OTA,P3,via Seera Group,,MENA,https://tajawal.com/,À négocier,Not started,,,Via Seera Group,Focus arabophone MENA
Mabeet,OTA,P3,direct contact,,KSA,https://mabeet.com/,À négocier,Not started,,,Cold email,STR + religieux Mecque/Médine
Wego,OTA,P3,direct contact,,MENA / APAC,https://wego.com/,Affiliation,Not started,,,Cold email,Meta-moteur affiliation
Rentelly,OTA,P3,direct contact,,MA / Tunisie,,À négocier,Not started,,,Cold email,STR Maghreb émergent
Kease,OTA,P3,direct contact,,MA,,À négocier,Not started,,,Cold email,STR Maroc local
Agoda,OTA,P3,partners@agoda.com,,APAC,https://partners.agoda.com/,Pas de commission - listing,Not started,,,Cold email,Booking Holdings focus APAC
Trip.com,OTA,P3,partner@trip.com,,APAC,https://www.trip.com/partners/,Pas de commission - listing,Not started,,,Cold email,Leader APAC clientèle chinoise
HomeToGo,OTA,P3,partners@hometogo.com,,Global,https://www.hometogo.com/partners,Affiliation,Not started,,,Cold email,Meta-moteur STR
Superhog,Assurance,P2,partners@superhog.com,,Global,https://www.superhog.com/partners/,Referral + Trust Network,Not started,,,Cold email,Screening guest + assurance dommages STR UK
SafelyStay,Assurance,P2,partners@safely.com,,US / UK,https://safely.com/partners,Referral + listing,Not started,,,Cold email,Assurance + screening STR Atlanta
Turno,Cleaning,P2,partnerships@turno.com,,US / Global,https://turno.com/partners,Referral + marketplace listing,Not started,,,Cold email,PMS Integration Marketplace très actif
Properly,Cleaning,P2,partners@getproperly.com,,Global,https://getproperly.com/partners,Referral standard,Not started,,,Cold email,Vancouver - checklists photo
Breezeway,Cleaning,P2,partners@breezeway.io,,US / Global,https://www.breezeway.io/partners,Referral + co-marketing,Not started,,,Cold email,Boston - property care + inspections
Nuki,Smart lock,P2,partner@nuki.io,,EU,https://nuki.io/en/business/,Hardware reseller + API,Not started,,,Cold email,Graz Autriche - leader EU smart locks
Igloohome,Smart lock,P2,partners@igloohome.co,,APAC / Global,https://www.igloohome.co/partners,Hardware + API,Not started,,,Cold email,Singapour - smart locks STR
TTLock,Smart lock,P2,partner@ttlock.com,,Global,https://www.ttlock.com/en/partners,Hardware reseller,Not started,,,Cold email,Shenzhen Sciener Inc.
Tuya Smart,IoT,P3,partnership@tuya.com,,Global / APAC,https://developer.tuya.com/,Marketplace partner,Not started,,,Inscription developer,NYSE TUYA - catalogue IoT large
Ecobee,IoT,P3,via developer portal,,NA,https://www.ecobee.com/developers/,Marketplace,Not started,,,Cold email,Thermostats smart Toronto
Resideo,IoT,P3,via Honeywell,,Global,,Marketplace,Not started,,,Via Honeywell partner program,Honeywell Home thermostats
KeyNest,Gestion clés,P3,partnerships@keynest.com,,UK / EU,https://keynest.com/partners,Referral + co-marketing,Not started,,,Cold email,UK-centric - utile si expansion UK
Minut,Monitoring sonore,P2,partners@minut.com,,EU / Global,https://www.minut.com/partners,Hardware + SaaS,Not started,,,Cold email,Suède - capteurs bruit/température
GetYourGuide,Activités,P2,partners@getyourguide.com,,Global,https://partner.getyourguide.com/,Commission 8-15% par résa,Not started,,,Cold email,Berlin - leader EU activités
Klook,Activités,P2,partners@klook.com,,APAC / Global,https://www.klook.com/partner/,Affiliation,Not started,,,Cold email,Hong Kong - leader APAC
Viator,Activités,P2,partners@viator.com,,Global,https://www.viator.com/partner/,Commission 8-20% par résa,Not started,,,Cold email,Groupe Tripadvisor
Revinate,Reviews,P3,partners@revinate.com,,Global,https://www.revinate.com/partners,À négocier,Not started,,,Cold email,Plus orienté hôtellerie traditionnelle
TrustYou,Reviews,P3,partners@trustyou.com,,EU / Global,https://www.trustyou.com/partners,À négocier,Not started,,,Cold email,Munich - reviews aggregation
HiJiffy,Reviews,P3,partners@hijiffy.com,,EU / Global,https://hijiffy.com/partners/,À négocier,Not started,,,Cold email,Lisbonne - chatbot + reviews automation
Mailchimp,Marketing,P2,via Mailchimp Partner,,Global,https://mailchimp.com/partner/,Marketplace listing + tier program,Not started,,,Application en ligne,Groupe Intuit - Connected/Pro/Expert tiers
Klaviyo,Marketing,P2,partners@klaviyo.com,,Global,https://www.klaviyo.com/partners,Referral + integration directory,Not started,,,Cold email,NYSE KVYO - Boston
Pipedrive,CRM,P3,partners@pipedrive.com,,Global,https://www.pipedrive.com/en/partners,Marketplace,Not started,,,Cold email,Tallinn - CRM commercial
MyTSE,Taxe séjour,P2,via formulaire site,,FR,,Referral,Not started,,,Cold email,Niche FR taxe de séjour
Universign,Signature,P3,via formulaire site,,FR,https://www.universign.com/fr/partenaires/,Négociable - orientation enterprise,Not started,,,Cold email,QTSP FR groupe Crédit Agricole - corporate lent
DocaPoste,Signature,P3,contact-commercial@docaposte.fr,01 55 44 01 00,FR,https://www.docaposte.com/partenaires,Pas d'affiliation publique - case by case,Not started,,,Cold email + tel,Groupe La Poste - LRE différenciateur location
Odoo,ERP,P3,partnership@odoo.com,,Global,https://www.odoo.com/partners,Discount licences + revenue share,Not started,,,Cold email,Belgique - open source ERP - partnership Silver/Gold/Ready
Rentals United,Channel Manager,P3,partnerships@rentalsunited.com,,EU / MENA,https://rentalsunited.com/partners/,Referral + co-sell,Not started,,,Cold email,Barcelone - 60+ OTAs STR-focused
AXA Partners,Assurance,P3,via formulaire AXA,,FR / Global,https://www.axapartners.com/fr/partenariats,À négocier - corporate,Not started,,,Via AXA B2B,Gros corporate cycle 12+ mois
Tawuniya,Assurance,P3,via entité KSA,,KSA,https://www.tawuniya.com.sa/,À négocier corporate,Not started,,,Via partenaire KSA,Tadawul TAWUNIYA leader assurance KSA
Police Maroc (DGSN),Compliance MA,P3,via avocat MA,,MA,https://www.dgsn.gov.ma/,N/A gouvernemental,Not started,,,Via cabinet avocat Casablanca/Rabat,Différenciation extrême - délai 6-12 mois - budget 5-10k€ juridique
Absher KSA,Compliance KSA,P3,via NIC,,KSA,https://www.absher.sa/,N/A gouvernemental,Not started,,,Via partenaire local KSA,API gouvernementale - entité juridique KSA requise - budget 10-20k€
