Section,Fonctionnalite,Clenzy_actuel,Hostaway,Guesty,Cible,Evolution_fonctionnelle,Evolution_technique,Multipays_FR_MA_KSA,Composants_Clenzy,Effort,Priorite
0. Socle multi-pays,KSA Shomoos / Absher (enregistrement obligatoire des invites),Inexistant,Non couvert,Non couvert nativement,Differenciation,Transmission automatique des donnees invites au Ministry of Interior saoudien (obligation legale Shomoos),"KsaShomoosProvider: au check-in, transmettre identite + piece + details sejour a Shomoos (National Information Center), gestion piece d identite obligatoire, base legale et chiffrement, integration ecosysteme Absher pour verification d identite guest",KSA,"compliance/registration/KsaShomoosProvider.java (a creer), GuestRegistrationProviderRegistry, Reservation, KMS",L,P2
0. Socle multi-pays,Fiche de police Maroc (tele-declaration STDN/DGSN),Inexistant,Non couvert,Non couvert nativement,Differenciation,"Tele-declaration quotidienne des arrivees/nuitees/departs sur stdn.ma avant 8h, archivage 1 an","MoroccoStdnProvider: agregation des nuitees par propriete et emission quotidienne via job @Scheduled avant 8h en Africa/Casablanca (TenantScopedExecutor hors HTTP), bulletin individuel (nom, prenom, CSP, sejour)",MA,"compliance/registration/MoroccoStdnProvider.java (a creer), scheduler, TenantScopedExecutor, Reservation",M,P2
0. Socle multi-pays,Routage paiement par pays / devise,"PaymentProvider (Strategy) + Registry + providers Stripe/PayTabs/CMI/Payzone codes, mais services metier appellent Stripe en dur (pas de router)","Stripe principal, peu de rails regionaux",Guesty Payments (Stripe-based) + integrations,Differenciation,"Encaisser via le bon provider local: Stripe (FR), CMI/Payzone (MA), PayTabs/HyperPay/Tap avec mada et STC Pay (KSA)","PaymentProviderRouter (input country+currency+methode -> registry via getSupportedCountries) remplacant les appels Stripe directs, affichage mada/STC Pay dans le tunnel booking, flux redirect+hash CMI, montant recalcule serveur, appels hors transaction + idempotency",Tous (FR/MA/KSA),"payment/PaymentProviderRouter.java (a creer), PaymentProviderRegistry, StripeCheckoutSessionFactory, providers PayTabs/CMI/Payzone, booking engine",M,P1
0. Socle multi-pays,"Devises et FX (affichage, conversion, taux officiels)","ExchangeRate + ExchangeRateProviderService fonctionnels (job @Scheduled, cibles MAD/SAR) mais source unique open.er-api (non banque centrale)",Affichage multi-devise basique,Multi-devise avec conversion,Parite,"Distinguer devise d affichage (cosmetique), de reglement (provider) et comptable (figee a la date facture), avec taux opposables","Trois roles de devise + sources officielles ECB/BAM/SAMA pour la compta (champ source deja present), generalisation toMinorUnits par devise (decimales mineures), RoundingMode explicite, BigDecimal compareTo jamais equals, stockage du taux utilise sur chaque transaction",Tous (FR/MA/KSA),"model/ExchangeRate.java, ExchangeRateProviderService.java, payment/StripeAmounts.java (a generaliser), Invoice.java",M,P1
0. Socle multi-pays,Fuseaux et week-end de pricing par pays,"Timezone propriete partiellement gere, mais PriceEngine applique vraisemblablement le week-end sam/dim en dur",Pricing week-end fige (sam/dim),Pricing week-end configurable mais pas pilote par pays,Differenciation,"Tarif week-end correct par pays: ven/sam en KSA, sam/dim en FR/MA, et tous les calculs dates en fuseau propriete","PriceEngine lit country.weekend_days au lieu de sam/dim en dur + property.getTimezone() systematique (Europe/Paris, Africa/Casablanca, Asia/Riyadh) y compris parsing iCal et jobs de declaration",KSA (week-end different) + Tous (fuseaux),"PriceEngine, Country.weekend_days, Property.java timezone, scheduler iCal, CalendarEngine",M,P2
0. Socle multi-pays,Yield calendrier Hijri (Ramadan / Aid / Umrah),Inexistant; saisonnalite basee sur le calendrier gregorien uniquement,Pas de calendrier Hijri,Pas de calendrier Hijri natif,Differenciation,"Capter les pics de demande Eid/Umrah (KSA, bookings domestiques +55%) et la saisonnalite Ramadan, avec une regle de yield par pays","HijriCalendarService (HijrahChronology ou Intl ar-SA islamic) genere les fenetres Ramadan/Eid par annee gregorienne pour alimenter le PriceEngine (saison promotionnelle/yield rule par pays), ajustement manuel admin annuel (confirmation lunaire +/-1 jour)",KSA (hausse Eid/Umrah) + MA (profil different),"fiscal/HijriCalendarService.java (a creer), PriceEngine, YieldRules, admin pricing",M,P2
0. Socle multi-pays,Signature et templates legaux par juridiction,"SES interne (/sign/{token}, CLENZY_CUSTOM, certificat iText) + Yousign/DocuSeal codes non branches, FR uniquement",Pas de signature de mandat integree,Signature via integrations tierces,Differenciation,"Mandat et CGV par pays, en arabe pour MA/KSA, avec un niveau de signature conforme a chaque regime","LegalTemplateProvider resolu par country (mandat/CGV, langue AR) + country.signature_regime (EIDAS FR, loi 53-05 MA, ECA KSA) selectionnant le provider/niveau requis, branchement Yousign/DocuSeal si valeur probante renforcee, rendu RTL des PDF legaux arabes",Tous (FR/MA/KSA),"contracts/LegalTemplateProvider.java (a creer), Country.signature_regime, ContractSignPage.tsx, providers Yousign/DocuSeal, iText RTL",M,P2
1. Channel Management,Architecture channel manager (natif vs revendeur),"Hybride : connecteurs directs (Airbnb OAuth, Booking, Expedia, Agoda, HomeAway, Hotels.com, TripAdvisor, Google VR) coexistent avec un revendeur Channex mature (sync Kafka bidirectionnelle, reconciliation, watchdog). Channex est la voie de prod pour 100+ OTAs ; les adapters directs sont partiels. Dependance Channex = coût/bien et marque tierce.","Channel manager natif avec connexions API directes temps reel sur 200+ plateformes, pas de revendeur intermediaire.","CM natif, integrations API/XML directes 60+ canaux, a absorbe Rentals United (2024) pour etendre la distribution longue traine.",Parite,Rendre transparent pour l'utilisateur le fait qu'un OTA passe en direct ou via Channex ; un seul ecran Sync & Diagnostics couvrant tous les modes de connexion avec etat de sante par OTA et par bien.,Conserver l'interface ChannelConnector + ChannelConnectorRegistry comme contrat unique ; router par bien (ChannelMapping vs ChannexPropertyMapping) ; promouvoir progressivement les adapters directs des OTAs a fort volume hors Channex tout en gardant Channex actif comme strategie de repli enregistree dans ChannelConnectorRegistry.,"Le routage direct vs Channex doit etre decidable par pays : top OTAs en direct sur FR, Channex/CM regional pour MENA ou les API directes sont fermees.","ChannelConnector, ChannelConnectorRegistry, ChannelSyncService, ChannexSyncService, ChannelManagerProviderType, ChannelMapping, ChannexPropertyMapping",XL,P0
1. Channel Management,Connexion Airbnb API officielle (host-profile inclus),"Adapter AirbnbChannelAdapter via OAuth (AirbnbOAuthService, state CSRF Redis), push calendrier/prix/frais et pull reservations operationnels. pushHostProfile reste un TODO (corps non implemente, dispatch via HostProfileSyncSupport en place).","Connexion Airbnb directe complete avec statut partenaire Preferred+, sync contenu et profil host.","Connexion Airbnb native complete, gestion multi-listing avancee et messagerie.",Parite,"Synchroniser le profil host (nom, photo, langues, coordonnees) et le contenu listing depuis le PMS, et exposer le badge de statut partenaire dans l'UI.","Implementer le corps de AirbnbChannelAdapter.pushHostProfile (appel API host_profiles avec RequestOptions par appel, jamais d'apiKey statique) ; activer CONTENT_SYNC ; idempotency sur les push ; mapping enrichi multi-listing via ChannelMapping.",Airbnb opere FR/Maroc/KSA ; gerer devise (EUR/MAD/SAR) et langue de listing (fr/en/ar) par marche dans le payload.,"AirbnbChannelAdapter, AirbnbOAuthService, HostProfileSyncSupport, HostProfileUpdate, ChannelContentMapping, ChannelMapping",M,P1
1. Channel Management,Connexion Booking.com API (statut Premier Connectivity),"BookingChannelAdapter present avec push restrictions et host-profile ; couverture API partielle, pas de statut partenaire premium revendique. Voie alternative via Channel slug booking_com sous Channex.","Connexion Booking.com directe, statut Premier Connectivity.","Booking.com Premier Connectivity Badge officiel (rates, dispo, contenu pilotes depuis le PMS).",Parite,"Piloter rate plans, restrictions et contenu Booking.com depuis le PMS sans repasser par l'extranet ; afficher le niveau de connectivite atteint.",Etendre BookingChannelAdapter aux endpoints rates/availability/content de l'API Booking Connectivity ; certification XML ; mapping rate plan ; gestion erreurs et retries Kafka avec DLT.,"Booking.com tres dominant au Maroc et present en KSA ; gerer taxes locales (TVA MA, taxe de sejour) et devises dans les payloads tarifaires.","BookingChannelAdapter, RatePlan, BookingRestriction, ChannelContentMapping, ChannelSyncLog",L,P1
1. Channel Management,Connexion Vrbo / Expedia Group,"Expedia adapter operationnel (ExpediaChannelAdapter, ExpediaApiClient, scheduler dispo + reservations). Vrbo present comme ChannelName mais sans adapter dedie, couvert via Channex. Pas de statut Elite revendique.","Vrbo et Expedia en direct, statut Vrbo Elite / Expedia premier partner.","Vrbo et Expedia natifs, gestion multi-listing.",Parite,"Distribution Vrbo/Expedia avec rate plans et restrictions completes, contenu et photos synchronises.",Creer VrboChannelAdapter (ou consolider via Expedia Rapid/EPS) ; mutualiser ExpediaApiClient ; ajouter OUTBOUND_RESTRICTIONS et CONTENT_SYNC aux capacites ; reconciliation calendrier.,"Expedia/Vrbo faibles au Maroc/KSA vs Booking et OTAs locaux : prioriser FR, traiter MENA via Channex/CM regional.","ExpediaChannelAdapter, ExpediaApiClient, ExpediaSyncScheduler, ChannelName.VRBO, ChannelMapping",L,P2
1. Channel Management,Couverture OTAs (volume de canaux connectes),"Via Channex 100+ OTAs accessibles (catalogue evolutif). En direct : Airbnb/Booking/Expedia/Agoda/HomeAway/Hotels.com/TripAdvisor/Google. Stubs : Trip.com, HomeToGo, et MENA (Gathern, Stay.sa, Mabeet, Kease, Rentelly) = enums sans adapter.",200+ plateformes connectees (directes + marketplace).,"60+ canaux directs, longue traine via Rentals United.",Parite,"Catalogue d'OTAs activables par marche dans l'UI, avec indication direct vs Channex et statut de disponibilite par pays.",Pour chaque OTA MENA : transformer le stub ChannelName en adapter reel (ou slug Channex confirme) ; registre de capacites par OTA ; metadata pays/devise/langue par canal pour filtrer le catalogue.,"Couverture explicite des OTAs regionaux KSA (Gathern, Stay.sa, Mabeet) et Maroc, en plus du tier global, avec disponibilite par pays.","ChannelName, ChannelConnectorRegistry, ChannexOtaChannel, ChannexConnectService",XL,P1
1. Channel Management,Sync temps reel dispo/prix bidirectionnelle,"Bidirectionnelle via Channex : push sortant pilote par Kafka (TOPIC_CALENDAR_UPDATES, groupId clenzy-channex-sync) consommant le CalendarEngine ; inbound par webhooks Channex signes. Adapters directs consomment le meme topic. Latence dependante du polling pour Agoda et autres OTAs sans webhook.",Sync 2-way temps reel API sur tous les canaux majeurs.,"Sync 2-way temps reel (reservations, prix, dispo) avec emphase sur la vitesse API.",Parite,Propagation quasi-instantanee des changements de prix/dispo vers tous les canaux et reflet immediat des reservations entrantes ; indicateur de fraicheur de sync par OTA.,Outbox pattern CalendarEngine -> Kafka -> consumers par channel ; idempotence des push (idempotency key par fenetre date/OTA) ; retries avec backoff et DLT Kafka ; webhooks signes pour l'inbound (ChannexSignatureValidator existant) ; reduire les schedulers de polling au profit des webhooks la ou disponible.,"Pas de specificite pays sur le mecanisme, mais surveiller les fuseaux : ecritures calendrier dans la timezone du bien (property.getTimezone) pour eviter les decalages d'un jour entre FR/MA/KSA.","CalendarEngine, ChannexSyncService, ChannelSyncService, KafkaConfig.TOPIC_CALENDAR_UPDATES, ChannexWebhookController, ChannexSignatureValidator",M,P0
1. Channel Management,"Sync des restrictions de sejour (min/max stay, CTA/CTD, gap, preavis)","Modele riche cote PMS (BookingRestriction : min/max stay, closed_to_arrival, closed_to_departure, gap_days, advance_notice, days_of_week) et RestrictionEngine. Capacite OUTBOUND_RESTRICTIONS definie et poussee partiellement (Booking, Expedia) ; couverture inegale selon OTA, point faible identifie (score 1/3 historique).",Push complet des restrictions et stop-sell sur tous les OTAs.,Restrictions et stop-sell automatises cross-OTA.,Parite,"Definir les restrictions une fois dans le PMS et les voir appliquees identiquement sur tous les canaux, avec reconciliation des ecarts.",Implementer pushRestrictions dans chaque adapter (mapping vers le modele rate plan de l'OTA / Channex restrictions) ; deriver depuis BookingRestriction + RestrictionEngine ; reconciliation periodique des restrictions distantes ; alerte watchdog en cas de divergence.,"Aucune divergence pays sur le modele, mais valider que les OTAs MENA exposent les memes types de restrictions (certains marketplaces P2P comme Gathern ont un modele plus pauvre).","BookingRestriction, RestrictionEngine, BookingRestrictionService, ChannelConnector.pushRestrictions, ChannexRatePlanSettingsUpdate",L,P0
1. Channel Management,Gestion des rate plans et tarifs channel-specific,"RatePlan + RatePlanType cote PMS, ChannelRateModifier applique par AdvancedRateManager, transmis via pushCalendarUpdate avec resolvedPrices (fix audit Z5-BUGS-03 pour ne pas jeter les markups par channel). RateDistributionService oriente la distribution. Pas de creation/edition de rate plans multiples par OTA pleinement exposee.",Rate plans multiples et markups/discounts par canal.,"Strategies de prix par canal, markups/discounts et rate plans uniques par OTA.",Parite,"Creer plusieurs plans tarifaires (non remboursable, derniere minute, B2B) et les router vers des OTAs precis avec un ajustement par canal.",Brancher RatePlan sur ChannelMapping (rate plan distant) ; etendre AdvancedRateManager/ChannelRateModifier ; pousser via pushCalendarUpdate(resolvedPrices) ; importer les rate plans distants via ChannexPricingImporter ; reconciliation des derives (ChannexPriceDrift / ChannexRatesReconciliationScheduler).,Rate plans par devise (EUR/MAD/SAR) et arrondis locaux ; rate plan B2B specifique pour les OTAs MENA souvent operes en mode contractuel.,"RatePlan, RatePlanType, AdvancedRateManager, ChannelRateModifier, RateDistributionService, ChannexPricingImporter, ChannexPriceDrift",L,P1
1. Channel Management,Anti double-reservation / overbooking,"Point fort : CalendarEngine source de verite, ecritures serialisees par bien via pg_advisory_xact_lock(property_id), convention absence-de-ligne = disponible. Concurrence couverte par tests (CalendarEngineConcurrencyTest). Robuste face aux reservations concurrentes multi-canaux.",Prevention double-booking par sync instantanee cross-OTA.,Blocage immediat de la dispo cross-canal a la reservation.,Differenciation,Garantir qu'une reservation sur un canal bloque instantanement les autres ; journaliser et alerter sur toute tentative de double-booking detectee a l'inbound.,Conserver pg_advisory_xact_lock cote CalendarEngine ; renforcer l'inbound (rejet idempotent des reservations en conflit) ; alerte watchdog si un OTA confirme une resa sur une date deja bloquee ; jamais de check-then-act (regle audit).,Verrou independant du pays ; veiller a la coherence de la date d'arrivee selon la timezone du bien lors du blocage (parsing iCal MENA).,"CalendarEngine, CalendarDay, CalendarDayStatus, ChannexWatchdogScheduler, CalendarEngineConcurrencyTest",S,P2
1. Channel Management,Mapping multi-listing avance,"ChannelMapping (direct) et ChannexPropertyMapping + ChannexOtaChannel (un bien -> plusieurs OTAs) en place. Mapping room type / rate plan partiel (ChannexRoomType, ChannexRatePlan cote DTO). Pas de mapping multi-unite (1 bien PMS -> N listings d'un meme OTA) generalise.","Mapping multi-listing avance, plusieurs annonces par bien et par OTA.",Mapping multi-listing et multi-unite avance.,Parite,"Lier un bien PMS a plusieurs annonces (ex : annonce FR et annonce EN, ou unite entiere vs chambre) sur un meme OTA et router correctement chaque sync.",Generaliser ChannelMapping en mapping a cardinalite N (room type + rate plan + listing externe) ; migration Liquibase ajoutant external_room_type_id / external_rate_plan_id ; resolveMapping retournant une collection ; coherence cote ChannexPropertyMapping.,"Mapping de listings par langue/marche (annonce ar pour KSA, fr pour FR) sur le meme bien physique.","ChannelMapping, ChannelMappingRepository, ChannexPropertyMapping, ChannexOtaChannel, ChannexRoomTypeDto",L,P2
1. Channel Management,Distribution de contenu et photos,"Capacite CONTENT_SYNC definie, ChannelContentMapping + ChannelContentService + ChannexPhotoDto presents ; pushContent retourne UNSUPPORTED par defaut sur la plupart des adapters. Couverture reelle faible : contenu et photos peu distribues automatiquement.","Distribution contenu, descriptions et photos vers tous les OTAs.","Sync de contenu (descriptions, photos, amenities) pilotee depuis le PMS.",Parite,"Editer descriptions/photos/amenities une fois et les publier sur tous les canaux, avec gestion des variantes par langue.","Implementer pushContent par adapter (Airbnb listing content API, Booking content API, Channex content endpoints) ; upload photos via storage -> URL OTA ; mapping amenities PMS -> facility codes OTA (ChannexFacilityOptionDto) ; idempotence et versionnage du contenu.","Descriptions multilingues fr/en/ar et RTL ; amenities specifiques MENA (ex : majlis, prayer area) a mapper.","ChannelContentMapping, ChannelContentService, ChannelConnector.pushContent, ChannexPhotoDto, ChannexFacilityOptionDto",L,P2
1. Channel Management,Gestion overbooking et erreurs de sync (resilience),"Bonne base : ChannexSyncLog/ChannelSyncLog, ChannexSyncErrorService, ChannexWatchdogScheduler (scan cross-tenant 15 min, gauges Prometheus, notifications), ChannexRatesReconciliationScheduler, error_count/last_error_message par OTA channel. DLT Kafka et retries a fiabiliser sur tous les flux.",Detection et resolution proactive des erreurs de sync.,Monitoring de la qualite de sync et resolution des incidents.,Parite,"L'utilisateur voit l'etat de sante de chaque OTA par bien, est notifie des echecs persistants et beneficie d'une reconciliation automatique des derives prix/dispo.",Generaliser retries backoff + DLT sur tous les consumers Kafka channel ; reconciliation periodique calendrier (getChannelCalendar) et prix (ChannexPriceDrift) ; pas de catch(Exception) avaleur (regle audit) ; statut de reconciliation explicite + notification admin ; alertes watchdog par severite.,Watchdog cross-tenant deja multi-org ; ajouter dimension pays/OTA regional dans les metriques pour isoler les incidents MENA.,"ChannexSyncErrorService, ChannexWatchdogScheduler, ChannexRatesReconciliationScheduler, ChannelSyncLog, ChannexPriceDrift, NotificationService",M,P1
1. Channel Management,Sync iCal (OTAs sans API),"ICalChannelAdapter + ICalSyncScheduler (cadence 3h), parsing robuste (ICalEventParser, gestion TZID/suffixe Z), validation URL securisee (ICalUrlValidator, blocage RFC1918, HTTPS), masquage FeedUrlMasker. Utilise pour Booking.com basique, Vrbo, et OTAs niche. Latence 3h = limite intrinseque.","iCal supporte en complement des API, mais privilegie l'API.","iCal en fallback, API directe privilegiee.",Parite,"Connecter un OTA sans API via simple URL iCal, avec import securise, parsing fiable des fuseaux et alerte en cas de conflit de dates.","Conserver ICalSyncScheduler (cadence configurable, idealement <1h pour les biens actifs) ; parsing timezone via property.getTimezone (regle audit Z6) ; validation URL stricte (ICalUrlValidator) ; deduplication des evenements ; ecriture via CalendarEngine sous advisory lock.","Beaucoup d'OTAs MENA n'exposent que de l'iCal au depart : l'iCal est le filet de securite pour la couverture KSA/Maroc avant adapters dedies. Parsing timezone Asia/Riyadh, Africa/Casablanca.","ICalChannelAdapter, ICalSyncScheduler, ICalEventParser, ICalUrlValidator, FeedUrlMasker, CalendarEngine",S,P2
1. Channel Management,OTAs MENA - Gathern (KSA) et marketplaces locaux,"Uniquement des enums ChannelName (GATHERN, STAY_SA, MABEET, KEASE, RENTELLY) sans adapter ni client API. Aucune connexion reelle a un OTA MENA aujourd'hui. Lacune majeure pour le cap multi-pays.","Couverture MENA via marketplace/partenaires regionaux, pas de connexion Gathern documentee publiquement.",Distribution MENA principalement via Rentals United (acquis 2024) et partenaires regionaux.,Parite,Un host KSA connecte son compte Gathern depuis l'onglet Channels et synchronise dispo/prix/reservations comme pour Airbnb.,"Creer GathernChannelAdapter implementant ChannelConnector (client API a confirmer aupres de Gathern - pas de doc publique d'API CM trouvee, integration probablement B2B/gated) ; sinon passer par Channex/Rentals United si Gathern y est expose ; OAuth ou API key selon le partenaire ; OUTBOUND_CALENDAR + INBOUND_RESERVATIONS minimum ; SAR + ar/RTL.","Coeur du cap KSA : Gathern, Stay.sa (programme officiel tourisme), Mabeet. Necessite verification contractuelle de l'acces API (la plupart sont gated, pas de sandbox public).","ChannelName.GATHERN, ChannelConnector, ChannelConnectorRegistry, ChannelManagerProviderType.RENTALS_UNITED, ChannexConnectService",XL,P0
1. Channel Management,"Statut partenaire premium (Airbnb Preferred+, Booking Premier, Vrbo Elite)",Aucun statut partenaire revendique. Connexions directes existantes mais sans certification de niveau partenaire ; la dependance Channex masque l'identite Clenzy aupres des OTAs.,"Preferred+ Airbnb, Premier Booking, Elite Vrbo, premier partner Expedia.","Booking.com Premier Connectivity Badge confirme, partenariats premium majeurs.",Parite,"Afficher les badges partenaires dans le PMS et debloquer les fonctionnalites reservees (promotions, visibilite accrue) pour les hosts.","Processus de certification connectivite par OTA (volume de connexions, taux d'erreur sous seuil, couverture fonctionnelle) ; instrumenter ChannelSyncLog/metrics pour prouver la qualite de sync exigee par les programmes partenaires ; demarches commerciales/techniques aupres de chaque OTA.",Statuts partenaires a obtenir par OTA et parfois par marche ; les OTAs MENA ont leurs propres programmes partenaires a evaluer.,"ChannelSyncLog, ChannexMetrics, AirbnbChannelAdapter, BookingChannelAdapter, ChannelConnectionService",L,P2
